Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric",-54.8200,94.6700,90.0000,top
"C2","22nF","C_0402_1005Metric",-49.5700,85.7800,90.0000,top
"C3","0.1uF","C_0402_1005Metric",-45.7200,82.1800,-90.0000,top
"C4","0.1uF","C_0402_1005Metric",-48.7200,82.1800,90.0000,top
"C5","0.1uF","C_0402_1005Metric",-50.4200,91.4800,90.0000,top
"C6","0.1uF","C_0402_1005Metric",-57.9200,82.5800,-90.0000,top
"C7","39pF","C_0402_1005Metric",-46.6200,94.0800,180.0000,top
"C8","39pF","C_0402_1005Metric",-47.8200,87.9800,180.0000,top
"C9","3pF","C_0402_1005Metric",-46.7200,83.1800,-90.0000,top
"C10","3pF","C_0402_1005Metric",-47.7200,83.1800,-90.0000,top
"C11","0.1uF","C_0402_1005Metric",-52.8200,94.6800,90.0000,top
"C12","0.1uF","C_0402_1005Metric",-55.6200,88.4800,180.0000,top
"C13","0.1uF","C_0402_1005Metric",-51.4200,79.5800,0.0000,top
"C14","0.1uF","C_0402_1005Metric",-57.4200,92.5800,-90.0000,top
"C15","22nF","C_0402_1005Metric",-55.6200,89.5800,0.0000,top
"D1","3.3VWM 0.6pF","D_SOD-523",-46.0200,97.6800,90.0000,top
"D2","20V 1A","D_SOD-123",-54.2200,85.6800,180.0000,top
"J1","MCX 6GHz 50R","MCX",-49.0200,96.9800,-90.0000,top
"J2","3.3-5V","Straight_2x03",-17.1510,19.4968,0.0000,top
"L1","8.2nH RF","L_0402_1005Metric",-47.2200,81.6800,180.0000,top
"M1","HOLE","MountingHole_3mm",10.1600,50.8000,0.0000,top
"M2","HOLE","MountingHole_3mm",50.8000,50.8000,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",50.8000,10.1600,0.0000,top
"R1","10k","R_0402_1005Metric",-53.8200,94.6700,90.0000,top
"R2","10R","R_0402_1005Metric",-44.8200,80.1800,90.0000,top
"R3","10R","R_0402_1005Metric",-49.6200,80.1800,90.0000,top
"R4","10k","R_0402_1005Metric",-51.8200,94.6800,90.0000,top
"R5","0R","R_0402_1005Metric",-46.2200,73.7800,0.0000,top
"R6","1k","R_0402_1005Metric",-55.6200,87.4800,0.0000,top
"R7","1k","R_0402_1005Metric",-52.9200,79.0800,-90.0000,top
"R8","20R","R_0402_1005Metric",-57.0200,94.0800,180.0000,top
"SW1","SN74LVC1G3157","SOT-363_SC-70-6",-52.4200,91.9800,-90.0000,top
"SW2","SN74LVC1G3157","SOT-363_SC-70-6",-55.4200,91.9800,-90.0000,top
"U1","BGA2818","SOT-363_SC-70-6",-47.6200,85.7800,90.0000,top
"U2","AD8313xRM","MSOP-8_3x3mm_P0.65mm",-47.2200,77.6800,-90.0000,top
"U3","TLV3542","VSSOP-8_3.0x3.0mm_P0.65mm",-55.4200,80.8300,90.0000,top
"U4","MCP4017-104E 100k","SOT-363_SC-70-6",-51.9200,81.5800,180.0000,top
"U5","MCP6566","SOT-353_SC-70-5",-53.1200,88.5800,90.0000,top
"X1","SF2321D","Filter_SAW-6_3.8x3.8mm",-47.3200,90.9800,-90.0000,top
